names,timestamp,robbery,rashdriving,violence,kidnapping,murder,latitude,longitude
Ramky One North bangalore,03-03-2020 16:10,0,1,0,0,0,12.7587473,77.481328
URI Shirdi Sri Sai Nagar bangalore,01-03-2020 18:25,0,0,1,0,0,12.7587473,77.481328
Sipani Wattle Grove bangalore,28-02-2020 08:40,0,1,0,0,0,12.7587473,77.481328
Sunil Orchid bangalore,06-03-2020 15:20,0,1,0,0,0,12.7595383,77.481328
Sobha Dream Gardens bangalore,03-03-2020 11:20,0,1,0,0,0,12.7595383,77.481328
DSMax Star Nest bangalore,03-03-2020 16:00,1,0,0,0,0,12.7595383,77.481328
Kritan Iris bangalore,28-02-2020 15:00,0,0,1,0,0,12.7595383,77.4840424
LVS Gardenia Phase 1 bangalore,05-03-2020 03:30,0,0,1,0,0,12.7609104,77.4840424
DS Max Sankalp Manor bangalore,07-03-2020 10:35,0,1,0,0,0,12.7609104,77.4840424
Prestige Gulmohar bangalore,28-02-2020 15:50,0,0,1,0,0,12.7609104,77.4840424
Sowmya Shailam bangalore,05-03-2020 19:10,1,0,0,0,0,12.7609104,77.4840424
Sipani Jardin bangalore,07-03-2020 18:05,1,0,0,0,0,12.7671408,77.4840424
Jeevan Pristine bangalore,07-03-2020 16:00,0,1,0,0,0,12.7671408,77.4840424
Aratt Amora bangalore,05-03-2020 18:15,0,0,1,0,0,12.7671408,77.484082
Sobha Avenue bangalore,07-03-2020 10:35,0,1,0,0,0,12.7671408,77.484082
KMB La Palazzo bangalore,03-03-2020 19:45,1,0,0,0,0,12.7671408,77.484082
Kumar Princetown Royale bangalore,28-02-2020 14:25,0,0,1,0,0,12.7671408,77.4848412
Vaishnavi Gardenia bangalore,05-03-2020 14:00,0,1,0,0,0,12.7671408,77.4848412
Krishna Brighton bangalore,04-03-2020 22:00,0,0,1,0,0,12.7697881,77.4848412
Cleartile The Rare Earth Plots bangalore,03-03-2020 17:50,0,1,0,0,0,12.7697881,77.4848412
Rajarajeshwari Parasmani Regency   bangalore,05-03-2020 12:10,1,0,0,0,0,12.7697881,77.4848412
Bren Edgewaters bangalore,28-02-2020 11:55,0,1,0,0,0,12.7697881,77.4848412
G Corp Residences bangalore,07-03-2020 21:10,0,0,1,0,0,12.7715636,77.4848412
Goyal Alanoville bangalore,03-03-2020 19:45,1,0,0,0,0,12.7715636,77.4848412
Century Artizan Phase II bangalore,06-03-2020 10:10,0,0,1,0,0,12.7715636,77.4864
Green City Eutopia bangalore,04-03-2020 20:00,0,0,1,0,0,12.773142,77.4864
Basava Pride bangalore,05-03-2020 14:55,1,0,0,0,0,12.773142,77.4864
Sobha City Casa Paradiso bangalore,03-03-2020 21:20,0,0,1,0,0,12.773142,77.4864
Salarpuria Sattva Kings Domain bangalore,04-03-2020 08:30,0,0,1,0,0,12.7741873,77.488539
Dharanis Prakruthi Park bangalore,01-03-2020 19:50,0,0,0,1,0,12.7741873,77.488539
Jain Heights East Parade bangalore,28-02-2020 11:00,0,0,1,0,0,12.7741873,77.488539
Casagrand Royce bangalore,07-03-2020 17:00,0,0,1,0,0,12.7741873,77.4902439
Vajram Tiara bangalore,7/3/2020 17.28,0,0,1,0,0,12.7748955,77.4902439
Godrej United bangalore,01-03-2020 12:05,1,0,0,0,0,12.7748955,77.4926026
M1 Terra Alegria bangalore,28-02-2020 15:00,0,0,1,0,0,12.7748955,77.4926026
Puravankara Elita Promenade bangalore,01-03-2020 11:45,0,0,1,0,0,12.7748955,77.4926622
Brigade Panorama bangalore,01-03-2020 16:20,0,1,0,0,0,12.7780888,77.4926622
Saiven The Hamptons bangalore,04-03-2020 21:00,0,1,0,0,0,12.7780888,77.4926622
Salarpuria Sattva Divinity bangalore,28-02-2020 19:00,0,0,1,0,0,12.7780888,77.4933195
TG Lakevista bangalore,05-03-2020 15:40,0,1,0,0,0,12.7786333,77.4933195
Mahaveer Cygnet bangalore,01-03-2020 00:55,0,1,0,0,0,12.7786333,77.4933195
Arvind Skylands bangalore,06-03-2020 14:30,0,1,0,0,0,12.7786333,77.4933195
Orbis BVS Avenues bangalore,01-03-2020 15:35,0,1,0,0,0,12.7786333,77.4936815
Prestige Pine Wood bangalore,06-03-2020 11:30,0,1,0,0,0,12.780214,77.4936815
Sri Amethyst bangalore,05-03-2020 20:00,0,1,0,0,0,12.780214,77.4936815
Sobha Valley View bangalore,28-02-2020 17:00,0,1,0,0,0,12.780214,77.4936815
Odion Rainbow Retreat bangalore,04-03-2020 19:05,0,1,0,0,0,12.780214,77.4958233
Concorde Spring Meadows bangalore,28-02-2020 10:15,0,1,0,0,0,12.7808199,77.4958233
Nava Vedantha bangalore,04-03-2020 23:05,0,0,1,0,0,12.7808199,77.4958233
Nambiar Bellezea bangalore,28-02-2020 21:45,0,0,1,0,0,12.7808199,77.4971036
Hatha Coco Nest bangalore,03-03-2020 13:00,0,1,0,0,0,12.7808199,77.4971036
RR Signature bangalore,28-02-2020 19:00,0,0,1,0,0,12.7808199,77.4971036
Sona Grandeur bangalore,03-03-2020 03:15,0,1,0,0,0,12.7808199,77.4971036
Arna Meadows bangalore,28-02-2020 13:00,0,0,1,0,0,12.7808199,77.4978003
Kataria Builteck Residency bangalore,01-03-2020 20:45,0,0,1,0,0,12.7808199,77.4978003
Assetz 63 Degree East bangalore,28-02-2020 22:10,0,0,1,0,0,12.7813035,77.4978003
IDEB Springfields bangalore,01-03-2020 20:45,0,0,1,0,0,12.7813035,77.4978003
Sai Ashirwad Natures Nest bangalore,01-03-2020 16:05,0,0,0,1,0,12.7813035,77.4993114
Sobha Eternia bangalore,01-03-2020 16:40,1,0,0,0,0,12.7813035,77.4993114
Purva Vantage bangalore,28-02-2020 00:00,1,0,0,0,0,12.7815368,77.4993114
NBR Green Valley bangalore,03-03-2020 15:30,1,0,0,0,0,12.7815368,77.4993114
MS Royal Sunnyvale bangalore,28-02-2020 22:00,0,0,1,0,0,12.7815368,77.4995552
Splendid Lake Dews bangalore,01-03-2020 14:30,1,0,0,0,0,12.7815368,77.4995552
Bren Trillium bangalore,03-03-2020 17:40,0,1,0,0,0,12.7828926,77.4995552
DSMAX SKYCLASSIC bangalore,04-03-2020 21:30,0,1,0,0,0,12.7828926,77.4995552
Legacy Vivienda bangalore,04-03-2020 19:05,0,1,0,0,0,12.7828926,77.5000402
Ajmera Annex bangalore,28-02-2020 08:40,0,1,0,0,0,12.7828926,77.5000402
Krishna Arya Elegant bangalore,28-02-2020 14:15,0,0,1,0,0,12.7851117,77.5000402
Soma White House bangalore,28-02-2020 14:25,0,0,1,0,0,12.7851117,77.5000402
Prestige Song Of The South bangalore,28-02-2020 15:50,0,0,0,1,0,12.7851117,77.502508
Vivansaa Aurigaa bangalore,28-02-2020 17:00,0,1,0,0,0,12.7861815,77.502508
SJR Hamilton Homes bangalore,04-03-2020 22:00,0,0,1,0,0,12.7861815,77.502508
Prestige Ferns Residency bangalore,05-03-2020 13:30,0,0,1,0,0,12.7861815,77.502508
Evershine Greenwood bangalore,7/3/2020 16.42 ,0,0,1,0,0,12.7861815,77.5051758
Avani Gardens bangalore,28-02-2020 19:05,0,0,1,0,0,12.7861871,77.5051758
Embassy Lake Terraces bangalore,01-03-2020 12:00,1,0,0,0,0,12.7861871,77.5051758
Lotus Petals bangalore,04-03-2020 08:30,0,0,1,0,0,12.7861871,77.5051758
TooGoodHomes by Provident bangalore,28-02-2020 22:30,0,0,0,1,0,12.7861871,77.5067053
Frontier Heights bangalore,28-02-2020 22:00,0,0,1,0,0,12.7867076,77.5067053
Aratt Grand Town bangalore,01-03-2020 15:30,0,0,0,1,0,12.7867076,77.5067053
Salarpuria Sattva Gold Summit bangalore,03-03-2020 16:00,1,0,0,0,0,12.7867076,77.5067053
Millennia Lakeview bangalore,05-03-2020 19:30,0,0,0,1,0,12.7867076,77.507
SJR Vogue bangalore,03-03-2020 22:50,0,0,1,0,0,12.787143,77.507
Habitat Eden Heights bangalore,07-03-2020 18:05,1,0,0,0,0,12.787143,77.507
Platina Exotica bangalore,28-02-2020 03:30,0,0,1,0,0,12.787143,77.507
DSMax Star Nest bangalore,07-03-2020 03:50,0,0,1,0,0,12.787143,77.507677
Opera Canopus bangalore,07-03-2020 03:50,0,0,1,0,0,12.7879805,77.507677
Mana Tropicale bangalore,05-03-2020 19:45,1,0,0,0,0,12.7879805,77.507677
Shriram Signia bangalore,28-02-2020 22:00,0,1,0,0,0,12.7879805,77.507677
Valmark Cityville bangalore,28-02-2020 14:10,0,0,1,0,0,12.7879805,77.5081942
Purva Vantage bangalore,05-03-2020 22:00,0,0,0,0,1,12.7924016,77.5081942
Hrvy Sai Sapphire bangalore,05-03-2020 19:05,1,0,0,0,0,12.7924016,77.5081942
Sruthika Springfields bangalore,28-02-2020 22:10,0,0,1,0,0,12.7924016,77.5081942
Brigade Meadows Plumeria bangalore,05-03-2020 12:10,1,0,0,0,0,12.7924016,77.5088305
Ahad Excellencia bangalore,04-03-2020 23:05,0,0,1,0,0,12.795757,77.5088305
Sterling Villa Grande Phase 2 bangalore,01-03-2020 14:30,1,0,0,0,0,12.795757,77.5088305
Gopalan Olympia bangalore,07-03-2020 12:50,1,0,0,0,0,12.795757,77.5088305
Mantri Espana bangalore,28-02-2020 19:00,0,0,1,0,0,12.795757,77.5102245
Krish Eirianwen bangalore,07-03-2020 19:05,0,1,0,0,0,12.7964534,77.5102245
Aditya Palm Grove bangalore,01-03-2020 12:00,1,0,0,0,0,12.7964534,77.5102245
A Peace Paramount bangalore,28-02-2020 15:00,0,0,1,0,0,12.7964534,77.5102245
Shri Balaji Ocean bangalore,01-03-2020 01:45,1,0,0,0,0,12.7964534,77.5113871
Sobha Iris bangalore,06-03-2020 14:30,0,1,0,0,0,12.796947,77.5113871
Vasundra Krishnashreya bangalore,05-03-2020 21:40,0,1,0,0,0,12.796947,77.5113871
The Presidential Tower bangalore,01-03-2020 18:35,1,0,0,0,0,12.796947,77.5117193
Adithya Garden  bangalore,04-03-2020 21:00,0,1,0,0,0,12.796947,77.5117193
Brigade Buena Vista Phase I bangalore,05-03-2020 19:45,1,0,0,0,0,12.7995085,77.5117193
Sobha Tulip bangalore,28-02-2020 18:00,0,1,0,0,0,12.7995085,77.5117193
Aratt Cityscapes Villa bangalore,07-03-2020 12:50,1,0,0,0,0,12.7995085,77.5123704
Srimitra Lifestyle bangalore,28-02-2020 03:30,0,0,1,0,0,12.7995085,77.5123704
Gajanana Sumuk bangalore,28-02-2020 15:50,1,0,0,0,0,12.7995085,77.5123704
Bren Northern Lights bangalore,05-03-2020 06:15,0,1,0,0,0,12.7995085,77.5123704
Svamitva Emerald Square bangalore,05-03-2020 00:45,0,0,1,0,0,12.7998369,77.5148337
Soni Tranquil bangalore,05-03-2020 03:30,0,0,1,0,0,12.7998369,77.5148337
Keerthi Krishna Viva bangalore,01-03-2020 14:30,1,0,0,0,0,12.7998369,77.5148337
Habitat Iluminar bangalore,01-03-2020 15:35,0,1,0,0,0,12.7998369,77.5148337
Bren Palms bangalore,07-03-2020 16:15,0,0,1,0,0,12.8001258,77.5148337
Columbia Belleza bangalore,03-03-2020 23:10,0,1,0,0,0,12.8001258,77.5148337
Akshaya Regalia bangalore,01-03-2020 15:15,0,0,0,1,0,12.8001258,77.5148337
Brigade Orchards Luxury Apartments bangalore,05-03-2020 10:00,0,1,0,0,0,12.8011407,77.5148708
Arvind Oasis bangalore,28-02-2020 14:25,0,0,1,0,0,12.8011407,77.5148708
SNN Raj GreenBay bangalore,07-03-2020 12:20,0,1,0,0,0,12.8011407,77.5148708
Legacy Salvador bangalore,28-02-2020 03:00,0,0,1,0,0,12.8011407,77.5148708
Maarq Vista bangalore,01-03-2020 11:45,0,0,1,0,0,12.8033514,77.5173107
SK Daisy bangalore,04-03-2020 22:00,0,0,1,0,0,12.8033514,77.5173107
The Lake View Address bangalore,04-03-2020 21:00,0,1,0,0,0,12.8033514,77.5173107
Kritan Iris bangalore,28-02-2020 22:00,0,0,1,0,0,12.806845,77.5173107
Yuva Eka bangalore,28-02-2020 03:30,0,0,1,0,0,12.806845,77.5173107
Assetz East Point bangalore,28-02-2020 19:00,0,0,1,0,0,12.806845,77.5173107
Brigade Buena Vista Phase II bangalore,28-02-2020 21:15,1,0,0,0,0,12.806845,77.5173107
Anand Somu Pristine bangalore,05-03-2020 23:10,0,1,0,0,0,12.8079224,77.5173107
Pavilion Villas at Brigade Orchards bangalore,28-02-2020 12:00,1,0,0,0,0,12.8079224,77.5180225
Basava Pride bangalore,04-03-2020 21:00,0,1,0,0,0,12.8079224,77.5180225
Mahaveer Riviera bangalore,01-03-2020 22:35,0,1,0,0,0,12.8079224,77.5180225
VSR Rejoice bangalore,07-03-2020 18:00,0,0,1,0,0,12.8079224,77.5186374
S2 Homes The Water Grove bangalore,07-03-2020 19:05,0,1,0,0,0,12.8079224,77.5186374
Saiven Siesta bangalore,01-03-2020 15:25,0,1,0,0,0,12.8079224,77.5186374
Bren Northern Lights bangalore,28-02-2020 14:25,0,0,1,0,0,12.8079224,77.5190858
Dharma Elite bangalore,07-03-2020 13:35,0,0,0,1,0,12.8124009,77.5190858
V Venture Essence bangalore,01-03-2020 20:45,0,0,1,0,0,12.8124009,77.5190858
SJR Residency bangalore,28-02-2020 19:05,0,0,1,0,0,12.8124009,77.5190858
Pyramid Carnations bangalore,28-02-2020 21:15,1,0,0,0,0,12.8124009,77.5194121
RJR Patel Residency bangalore,04-03-2020 14:30,0,1,0,0,0,12.8134935,77.5194121
Peram's Eco City bangalore,28-02-2020 23:50,0,0,1,0,0,12.8134935,77.5194121
Uber Verdant bangalore,01-03-2020 15:30,0,0,0,1,0,12.8134935,77.5200615
Mantri Webcity bangalore,07-03-2020 21:05,0,0,1,0,0,12.8134935,77.5200615
Embassy Pristine bangalore,01-03-2020 17:20,0,1,0,0,0,12.8141256,77.5200615
Century Saras bangalore,07-03-2020 16:15,0,0,1,0,0,12.8141256,77.5200615
Sobha Valley View bangalore,05-03-2020 13:15,0,0,1,0,0,12.8141256,77.5212751
Rohan Iksha bangalore,05-03-2020 18:45,1,0,0,0,0,12.8141256,77.5212751
Brigade 7 Gardens bangalore,28-02-2020 19:30,0,1,0,0,0,12.8145655,77.5212751
Chaitrashree Royale bangalore,03-03-2020 22:50,0,1,0,0,0,12.8145655,77.5212751
ARS Bhavisha bangalore,05-03-2020 10:00,0,1,0,0,0,12.8145655,77.5217595
Comfort Heights bangalore,28-02-2020 14:15,0,0,1,0,0,12.8145655,77.5217595
Reliaable Residenza bangalore,03-03-2020 13:40,0,1,0,0,0,12.8146987,77.5217595
Relizant Royale bangalore,01-03-2020 14:30,1,0,0,0,0,12.8146987,77.5217595
Bluejay Atmosphere bangalore,28-02-2020 15:40,0,0,1,0,0,12.8146987,77.5231804
DSR White Waters bangalore,28-02-2020 01:00,0,0,1,0,0,12.8146987,77.5231804
The Lake View Address bangalore,28-02-2020 20:00,0,0,1,0,0,12.8150853,77.5231804
Brigade Lakefront - Amber Block bangalore,03-03-2020 23:10,0,1,0,0,0,12.8150853,77.5231804
The Gran Carmen Address bangalore,01-03-2020 16:20,0,1,0,0,0,12.8150853,77.5252055
Brigade Parkside West bangalore,03-03-2020 00:15,0,0,1,0,0,12.8150853,77.5252055
Samruddhi Winter Green bangalore,05-03-2020 19:30,1,0,0,0,0,12.8161591,77.5252055
Damden Vivo bangalore,05-03-2020 22:20,0,1,0,0,0,12.8161591,77.5252055
Kolte Patil 24K Grazio bangalore,28-02-2020 21:45,0,0,1,0,0,12.8161591,77.5264058
Vaishnavi Gardenia bangalore,04-03-2020 09:00,0,0,1,0,0,12.8161591,77.5264058
Jains Aashraya bangalore,01-03-2020 16:40,1,0,0,0,0,12.8162764,77.5264058
Ma Sarada Casa Estrella bangalore,28-02-2020 08:00,0,0,0,1,0,12.8162764,77.526696
Fortuna Acacia bangalore,03-03-2020 20:05,1,0,0,0,0,12.8162764,77.526696
Mahindra Lifespace Windchimes bangalore,01-03-2020 15:15,0,0,0,1,0,12.8162764,77.526696
Northern Destiny bangalore,07-03-2020 13:00,0,0,1,0,0,12.8178837,77.5274646
Fire Luxur The Empyrean Phase II bangalore,01-03-2020 01:45,1,0,0,0,0,12.8178837,77.5274646
Svamitva Sylvia CIty bangalore,03-03-2020 13:00,0,1,0,0,0,12.8178837,77.5274646
Sobha Silicon Oasis bangalore,05-03-2020 20:00,0,1,0,0,0,12.8178837,77.5274646
Century Infiniti bangalore,03-03-2020 16:10,0,1,0,0,0,12.8183059,77.5285878
KVG Grandeur bangalore,04-03-2020 13:40,0,1,0,0,0,12.8183059,77.5285878
Bren Trillium bangalore,04-03-2020 19:05,0,1,0,0,0,12.8183059,77.5285878
Pyramid Bilberry bangalore,05-03-2020 19:30,0,0,0,1,0,12.8183059,77.5285878
Vaswani Menlo Park bangalore,05-03-2020 13:15,0,0,1,0,0,12.8192308,77.5286683
Pavilion Villas at Brigade Orchards bangalore,28-02-2020 15:50,0,0,1,0,0,12.8192308,77.5286683
SJR Vogue bangalore,07-03-2020 17:00,0,0,1,0,0,12.8192308,77.5286683
VRR Golden Enclave bangalore,01-03-2020 16:20,0,1,0,0,0,12.8192308,77.5286683
Godrej Eternity Life Plus bangalore,28-02-2020 00:00,1,0,0,0,0,12.8192308,77.5290121
Brigade Omega bangalore,04-03-2020 19:05,0,1,0,0,0,12.8192308,77.5290121
Shriram Signia bangalore,04-03-2020 23:05,0,0,1,0,0,12.8192308,77.5290121
Prestige Kensington Gardens bangalore,28-02-2020 14:15,0,0,1,0,0,12.8211271,77.5290121
Slv Parkview bangalore,28-02-2020 22:10,0,0,1,0,0,12.8211271,77.5290558
Ambiience Aamby City bangalore,07-03-2020 12:50,1,0,0,0,0,12.8211271,77.5290558
Sowmya Shailam bangalore,07-03-2020 18:00,0,0,1,0,0,12.8213574,77.5290558
Park Cubix bangalore,03-03-2020 23:40,0,0,0,1,0,12.8213574,77.5290558
Legacy Cirocco bangalore,28-02-2020 20:00,0,0,1,0,0,12.8213574,77.5294655
Salarpuria Sattva Misty Charm bangalore,04-03-2020 19:05,0,1,0,0,0,12.8213574,77.5294655
MV Vajra Value Plus bangalore,01-03-2020 12:00,1,0,0,0,0,12.8217185,77.5294655
Sumadhura Eden Garden bangalore,28-02-2020 14:10,0,0,1,0,0,12.8217185,77.5294655
B&B Opulent Spire bangalore,06-03-2020 11:30,0,1,0,0,0,12.8217185,77.5295509
Sriven Luminous Amaltas bangalore,07-03-2020 00:35,0,0,1,0,0,12.8217185,77.5295509
Umiya Woods Apartment bangalore,01-03-2020 22:30,1,0,0,0,0,12.8219467,77.5295509
The Gran Carmen Address bangalore,05-03-2020 14:00,0,1,0,0,0,12.8219467,77.5295509
Arya Hamsa Grande bangalore,03-03-2020 20:40,0,1,0,0,0,12.8219467,77.5297639
Vaishnavi Oasis bangalore,06-03-2020 11:30,0,1,0,0,0,12.8219467,77.5297639
Disha Courtyard bangalore,04-03-2020 08:00,0,1,0,0,0,12.8219467,77.5297639
Rohan Jharoka bangalore,28-02-2020 08:40,0,1,0,0,0,12.8219467,77.5298378
Midtown Rhythm bangalore,07-03-2020 19:05,0,1,0,0,0,12.8220091,77.5298378
Elegant Pride bangalore,04-03-2020 21:00,0,1,0,0,0,12.8220091,77.5298378
Evershine Greenwood bangalore,04-03-2020 09:00,0,0,1,0,0,12.8220091,77.5298378
Aparna Elina bangalore,28-02-2020 14:25,0,0,1,0,0,12.8227035,77.5299197
Sobha Forest Edge bangalore,04-03-2020 19:05,0,1,0,0,0,12.8227035,77.5299197
Umiya Woods Apartment bangalore,28-02-2020 22:10,0,0,1,0,0,12.8227035,77.5299197
Fortuna Acacia bangalore,01-03-2020 20:45,0,0,1,0,0,12.8227035,77.5299197
Icon Laurels bangalore,01-03-2020 12:05,1,0,0,0,0,12.8227035,77.5299315
CMRS Mulberry Mist bangalore,05-03-2020 21:00,0,0,1,0,0,12.8227035,77.5299315
Adarsh Tranqville bangalore,05-03-2020 19:10,1,0,0,0,0,12.8227035,77.5299315
Ezzy Corinth bangalore,01-03-2020 18:35,1,0,0,0,0,12.8236447,77.5299544
Soni Tranquil bangalore,28-02-2020 01:00,0,0,1,0,0,12.8236447,77.5299544
Zonasha Elegance bangalore,05-03-2020 19:30,0,0,0,1,0,12.8236447,77.5299544
Unishire Spacio bangalore,06-03-2020 15:20,0,1,0,0,0,12.8236447,77.5299544
Bren Imperia bangalore,07-03-2020 16:00,0,1,0,0,0,12.8249955,77.5302144
Salarpuria Sattva Gold Summit bangalore,01-03-2020 00:55,0,1,0,0,0,12.8249955,77.5302144
Samruddhi Winter Green bangalore,01-03-2020 20:45,0,0,1,0,0,12.8249955,77.5302144
Indio Classic bangalore,05-03-2020 22:00,0,0,0,0,1,12.8249955,77.5302144
Godrej Eternity bangalore,05-03-2020 23:00,0,0,1,0,0,12.8275997,77.5304509
Platina Exotica bangalore,06-03-2020 17:25,0,0,1,0,0,12.8275997,77.5304509
Suncrest Pebbles bangalore,03-03-2020 00:15,0,0,1,0,0,12.8275997,77.5304509
Sumadhura Eden Garden bangalore,04-03-2020 22:00,0,0,1,0,0,12.8275997,77.5304509
AR Splendor Park bangalore,05-03-2020 19:45,1,0,0,0,0,12.8277163,77.5304509
SV Lakshmi Nivas bangalore,03-03-2020 16:00,1,0,0,0,0,12.8277163,77.5304509
SV Spring Woods bangalore,07-03-2020 19:55,0,0,0,1,0,12.8277163,77.5304509
Pavilion Villas at Brigade Orchards bangalore,06-03-2020 13:45,0,1,0,0,0,12.8277163,77.5304509
Prabhavathi Divine bangalore,7/3/2020 17.28,0,0,1,0,0,12.8281273,77.530547
Brigade Bricklane bangalore,01-03-2020 15:25,0,1,0,0,0,12.8281273,77.530547
Soundarya Kamakshi bangalore,01-03-2020 16:40,1,0,0,0,0,12.8281273,77.530547
Krishnaja Northcity bangalore,03-03-2020 16:00,1,0,0,0,0,12.8281273,77.530547
Legacy Salvador bangalore,03-03-2020 17:50,0,1,0,0,0,12.8281273,77.531457
Incor Carmel Heights bangalore,06-03-2020 20:45,0,0,0,1,0,12.8281273,77.531457
Brigade Lakefront Blue bangalore,28-02-2020 13:00,0,0,1,0,0,12.8281273,77.531457
Shapoorji Pallonji ParkWest Mahogany bangalore,01-03-2020 17:30,0,1,0,0,0,12.8281273,77.531457
Sipani Bliss 1 bangalore,07-03-2020 12:20,0,1,0,0,0,12.828163,77.532143
Sumo Sonnet bangalore,03-03-2020 00:15,0,0,1,0,0,12.828163,77.532143
Brigade Gardenia bangalore,04-03-2020 21:00,0,1,0,0,0,12.8288136,77.532143
GM Infinite Elegance Tower bangalore,01-03-2020 18:25,0,0,1,0,0,12.8288136,77.532143
Prestige Jade Pavillion bangalore,06-03-2020 10:10,0,0,1,0,0,12.8288136,77.5329519
SM Zinnia bangalore,06-03-2020 11:40,0,0,1,0,0,12.8288136,77.5329519
Desai Grandeur bangalore,28-02-2020 19:50,0,0,1,0,0,12.8291828,77.5329519
Banashree Arka Forest View bangalore,03-03-2020 20:05,0,0,1,0,0,12.8291828,77.5329519
IDEB Springfields bangalore,01-03-2020 22:20,0,0,1,0,0,12.8291828,77.5348332
Assetz Earth & Essence bangalore,04-03-2020 08:30,0,0,1,0,0,12.8294758,77.5348332
Advaitha Aksha bangalore,07-03-2020 12:10,0,1,0,0,0,12.8294758,77.5348332
